name,cbb_url,nba_url
Wayne Ellington,https://www.sports-reference.com/cbb/players/wayne-ellington-1.html,https://www.basketball-reference.com/players/e/ellinwa01.html
Tim Frazier,https://www.sports-reference.com/cbb/players/tim-frazier-1.html,https://www.basketball-reference.com/players/f/fraziti01.html
Taj Gibson,https://www.sports-reference.com/cbb/players/taj-gibson-1.html,https://www.basketball-reference.com/players/g/gibsota01.html
Ben McLemore,https://www.sports-reference.com/cbb/players/ben-mclemore-1.html,https://www.basketball-reference.com/players/m/mclembe01.html
James Johnson,https://www.sports-reference.com/cbb/players/james-johnson-1.html,https://www.basketball-reference.com/players/j/johnsja01.html
DeAndre Jordan,https://www.sports-reference.com/cbb/players/deandre-jordan-1.html,https://www.basketball-reference.com/players/j/jordade01.html
E'Twaun Moore,https://www.sports-reference.com/cbb/players/etwaun-moore-1.html,https://www.basketball-reference.com/players/m/mooreet01.html
Andre Roberson,https://www.sports-reference.com/cbb/players/andre-roberson-1.html,https://www.basketball-reference.com/players/r/roberan03.html
PJ Tucker,https://www.sports-reference.com/cbb/players/pj-tucker-1.html,https://www.basketball-reference.com/players/t/tuckepj01.html
Hassan Whiteside,https://www.sports-reference.com/cbb/players/hassan-whiteside-1.html,https://www.basketball-reference.com/players/w/whiteha01.html
Greg Monroe,https://www.sports-reference.com/cbb/players/greg-monroe-1.html,https://www.basketball-reference.com/players/m/monrogr01.html
Mason Plumlee,https://www.sports-reference.com/cbb/players/mason-plumlee-1.html,https://www.basketball-reference.com/players/p/plumlma01.html
Mitch McGary,https://www.sports-reference.com/cbb/players/mitch-mcgary-1.html,https://www.basketball-reference.com/players/m/mcgarmi01.html
Alex Len,https://www.sports-reference.com/cbb/players/alex-len-1.html,https://www.basketball-reference.com/players/l/lenal01.html
Gorgui Dieng,https://www.sports-reference.com/cbb/players/gorgui-dieng-1.html,https://www.basketball-reference.com/players/d/dienggo01.html
Mason Plumlee,https://www.sports-reference.com/cbb/players/mason-plumlee-1.html,https://www.basketball-reference.com/players/p/plumlma01.html
Miles Plumlee,https://www.sports-reference.com/cbb/players/miles-plumlee-1.html,https://www.basketball-reference.com/players/p/plumlmi01.html
Willie Cauley-Stein,https://www.sports-reference.com/cbb/players/willie-cauley-stein-1.html,https://www.basketball-reference.com/players/c/caulewi01.html
Cody Zeller,https://www.sports-reference.com/cbb/players/cody-zeller-1.html,https://www.basketball-reference.com/players/z/zelleco01.html
Kelly Olynyk,https://www.sports-reference.com/cbb/players/kelly-olynyk-1.html,https://www.basketball-reference.com/players/o/olynyke01.html
Aron Baynes,https://www.sports-reference.com/cbb/players/aron-baynes-1.html,https://www.basketball-reference.com/players/b/baynear01.html
Larry Nance Jr.,https://www.sports-reference.com/cbb/players/larry-nance-2.html,https://www.basketball-reference.com/players/n/nancela02.html
Festus Ezeli,https://www.sports-reference.com/cbb/players/festus-ezeli-1.html,https://www.basketball-reference.com/players/e/ezelife01.html
Robin Lopez,https://www.sports-reference.com/cbb/players/robin-lopez-1.html,https://www.basketball-reference.com/players/l/lopezro01.html
Derrick Favors,https://www.sports-reference.com/cbb/players/derrick-favors-1.html,https://www.basketball-reference.com/players/f/favorde01.html
Nerlens Noel,https://www.sports-reference.com/cbb/players/nerlens-noel-1.html,https://www.basketball-reference.com/players/n/noelne01.html
